"timestamp,aqi,pm2_5,pm10,temperature,humidity,wind_speed",timestamp,aqi,pm2_5,pm10,temperature,humidity,wind_speed
"2024-10-15 01:00:43,4.0,58.58,84.51,28.9,51,2.06",,,,,,,
,2024-11-26 06:11:38,5.0,200.03,263.41,17.9,82.0,2.57
,2024-11-26 11:11:38,5.0,137.47,184.64,30.9,35.0,2.06
,2024-11-26 16:11:38,3.0,39.7,78.81,30.9,37.0,7.2
,2024-11-26 21:11:38,5.0,150.09,220.26,23.9,73.0,2.06
,2024-11-27 02:11:38,5.0,124.12,186.09,19.9,88.0,1.54
,2024-11-27 07:11:38,4.0,67.14,119.16,19.9,88.0,1.54
,2024-11-27 12:11:38,3.0,29.98,72.92,30.9,48.0,3.6
,2024-11-27 17:11:38,3.0,32.07,78.85,28.9,51.0,5.14
,2024-11-27 22:11:38,5.0,128.81,202.92,23.9,78.0,3.09
,2024-11-28 03:11:38,5.0,126.6,174.69,20.9,88.0,3.09
,2024-11-28 08:11:38,5.0,352.76,418.81,21.9,88.0,1.54
,2024-11-28 13:11:38,5.0,96.7,144.45,29.9,51.0,4.63
,2024-11-28 18:11:38,3.0,32.29,66.31,26.9,57.0,2.57
,2024-11-28 23:11:38,4.0,56.87,97.01,22.9,78.0,1.54
,2024-11-29 04:11:38,5.0,108.36,142.37,19.9,94.0,1.54
,2024-11-29 09:11:38,5.0,271.41,342.07,24.9,73.0,2.57
,2024-11-29 14:11:38,4.0,74.7,111.53,30.9,35.0,3.6
,2024-11-29 19:11:38,3.0,35.7,67.86,25.88,66.0,4.28
,2024-11-30 00:11:38,5.0,102.3,139.32,21.9,78.0,2.06
,2024-11-30 05:11:38,4.0,61.22,103.42,20.9,88.0,2.06
,2024-11-30 10:11:38,5.0,189.57,286.84,28.9,37.0,4.63
,2024-11-30 15:11:38,5.0,86.69,152.25,30.9,23.0,4.12
,2024-11-30 20:11:38,5.0,128.17,206.48,23.9,46.0,3.09
,2024-12-01 01:11:38,5.0,127.42,218.73,19.9,56.0,2.06
,2024-12-01 06:11:38,5.0,164.34,252.12,16.9,77.0,2.06
